2026-03-22 13:52:09.327 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:219 - Logging initialized for morphometrics in "/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis".
2026-03-22 13:52:09.328 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:220 - AxonDeepSeg v5.4.0 - 8972f83c028dc4393d84ed66af7d30d5e41ad593
2026-03-22 13:52:09.328 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample1/01.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
2026-03-22 13:52:12.870 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 67 at [y:2011.0, x:462.0] and corresponding myelinated axon 67 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:52:12.870 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 67 at [y:2011.0, x:462.0] and corresponding myelinated axon 67 have unexpected measure values for area attribute.
2026-03-22 13:52:16.952 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:363 - Morphometrics file: 01_axon_morphometrics.xlsx has been saved in the /Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample1 directory
2026-03-22 13:52:18.814 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:219 - Logging initialized for morphometrics in "/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis".
2026-03-22 13:52:18.814 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:220 - AxonDeepSeg v5.4.0 - 8972f83c028dc4393d84ed66af7d30d5e41ad593
2026-03-22 13:52:18.815 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample1/03.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
2026-03-22 13:52:21.893 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 45 at [y:1891.5, x:320.0] and corresponding myelinated axon 45 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:52:21.893 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 45 at [y:1891.5, x:320.0] and corresponding myelinated axon 45 have unexpected measure values for area attribute.
2026-03-22 13:52:22.951 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 290 at [y:749.0, x:2041.5] and corresponding myelinated axon 290 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:52:22.952 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 290 at [y:749.0, x:2041.5] and corresponding myelinated axon 290 have unexpected measure values for area attribute.
2026-03-22 13:52:22.969 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 293 at [y:749.0, x:2059.0] and corresponding myelinated axon 293 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:52:22.969 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 293 at [y:749.0, x:2059.0] and corresponding myelinated axon 293 have unexpected measure values for area attribute.
2026-03-22 13:52:24.530 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:363 - Morphometrics file: 03_axon_morphometrics.xlsx has been saved in the /Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample1 directory
2026-03-22 13:52:26.264 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:219 - Logging initialized for morphometrics in "/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis".
2026-03-22 13:52:26.265 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:220 - AxonDeepSeg v5.4.0 - 8972f83c028dc4393d84ed66af7d30d5e41ad593
2026-03-22 13:52:26.265 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample1/07.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
2026-03-22 13:52:30.327 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:get_axon_morphometrics:263 - WARNING: Myelin object not found for axon centroid [y:1450.2941176470588, x:1123.5882352941176]
2026-03-22 13:52:30.383 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 245 at [y:1763.5, x:1533.5] and corresponding myelinated axon 245 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:52:30.384 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 245 at [y:1763.5, x:1533.5] and corresponding myelinated axon 245 have unexpected measure values for area attribute.
