axon_id,reasons,category,gratio,axon_diam,myelin_thickness,solidity,eccentricity,sample,slice_id
0,border-touching,border,0.65267469076754,0.4799764230793734,0.1277113713221255,0.9677996422182468,0.9530824141148247,sample1,1
1,border-touching,border,0.8391783183297329,0.6433605171130031,0.0616473984267736,0.9379975874547648,0.9511407553548432,sample1,1
2,border-touching,border,0.744363176884441,0.3765679803643828,0.0646624155901372,0.9548387096774194,0.9595727261014172,sample1,1
3,border-touching,border,0.7203114093140112,0.5677657782306254,0.110228443073176,0.9640241961158866,0.8737826423044247,sample1,1
4,border-touching,border,0.7465329016508739,0.5163075062057767,0.0876498310820956,0.964932562620424,0.4979758566001309,sample1,1
5,border-touching,border,0.8661151055200135,0.7169269519159467,0.0554116240990251,0.9712331522832428,0.9007520782183756,sample1,1
6,border-touching,border,0.9064836906028514,1.22292134696959,0.0630806115085917,0.963643846892578,0.6179971688148684,sample1,1
18,border-touching,border,0.8325180878355355,0.8277502001139969,0.0832613659302244,0.8718504470333243,0.8063220222445786,sample1,1
31,border-touching,border,0.5543055322149479,0.2144535057043344,0.0862166580834951,0.9515418502202644,0.8469433607990854,sample1,1
37,border-touching,border,0.7115015207046906,0.4157998125011254,0.084298915818929,0.956982911019446,0.5645337853817377,sample1,1
51,border-touching,border,0.8174755939663605,0.4870223253556931,0.0543707122981874,0.9611734253666956,0.9154017172930412,sample1,1
60,border-touching,border,0.786670782484656,0.5923588457717498,0.0803178736711532,0.8287654010560724,0.9166693391501164,sample1,1
66,gratio=1.000; no myelin; tiny axon (0.0231 um),invalid,1.0,0.0230715237813523,0.0,1.0,1.0,sample1,1
79,border-touching,border,0.6566182612322067,0.3346564090204665,0.0875051048714247,0.945193171608266,0.7513956077064426,sample1,1
95,border-touching,border,0.8312410186464755,0.9572875392671636,0.0971745055677141,0.9758530778823262,0.2969126514160128,sample1,1
98,border-touching,border,0.7905694150420948,0.354431473579968,0.0469464094025144,0.963265306122449,0.7651806940621102,sample1,1
110,border-touching,border,0.6802816854223223,0.3489830138488037,0.0820073973729799,0.9565217391304348,0.7830156368831737,sample1,1
114,border-touching,border,0.7082099787556851,0.47147267102797,0.0971258700259177,0.9516864175022788,0.7976240218297694,sample1,1
122,border-touching,border,0.7698692356126036,0.5142414414708855,0.0768590109404769,0.9616724738675958,0.5056467228757865,sample1,1
131,border-touching; tiny axon (0.0206 um); very low gratio (0.188); myelin>>axon (mt/ad=2.16),border,0.1881441736767195,0.0206357982078427,0.0445224868739627,1.0,0.0,sample1,1
132,border-touching,border,0.4408194262524216,0.1810783943792302,0.114849204041529,0.924924924924925,0.9675418831076495,sample1,1
134,border-touching,border,0.7493319416363596,0.5564017378653516,0.0930643254018302,0.9398836457659988,0.7817819934009573,sample1,1
146,tiny axon (0.0292 um); very low gratio (0.199); myelin>>axon (mt/ad=2.02),artifact,0.1985166667941861,0.0291834256959256,0.0589120039109473,1.0,0.8944271909999159,sample1,1
153,border-touching,border,0.7153231492268404,0.5063135125001433,0.1007486870781599,0.9465408805031448,0.7896417489493922,sample1,1
160,border-touching,border,0.606976978666884,0.1968529686299074,0.0637320287329872,0.9309462915601024,0.9731892531427576,sample1,1
170,border-touching,border,0.7550630477433949,0.5640032067755285,0.0914792658331081,0.9534141671984684,0.7596764891186625,sample1,1
197,border-touching,border,0.7597454164524279,0.7712931519478848,0.1219531641793962,0.9662804772609372,0.7197735804499706,sample1,1
210,very low gratio (0.228); myelin>>axon (mt/ad=1.69),myelin_dominant,0.2284160962880643,0.0505471760442542,0.0853735530193415,0.9230769230769232,0.7874992309581578,sample1,1
219,border-touching,border,0.8742909050234989,1.042873708673036,0.074974307372299,0.968524838832006,0.7822808803097621,sample1,1
232,border-touching,border,0.8044668287884124,0.6982710161446286,0.0848606438860438,0.9662447257383966,0.6810569141354783,sample1,1
241,low solidity (0.683),merge_error,0.8090689073038508,0.3282324639972801,0.0387295707717847,0.6833220796758946,0.9437020624039666,sample1,1
253,border-touching,border,0.7452853392941691,0.6118087866205861,0.1045483248392459,0.9683282842192232,0.837942786677352,sample1,1
