sample,slice,total,excluded,retained,pct_excluded,border,artifact,myelin_dominant,merge_error,unmyelinated,invalid
sample1,01,496,60,436,12.1%,54,3,1,1,0,1
sample1,03,445,72,373,16.2%,61,4,1,3,0,3
sample1,07,496,94,402,19.0%,80,6,1,6,0,1
sample2,01,308,46,262,14.9%,32,8,2,3,0,1
sample2,03,369,52,317,14.1%,43,4,1,2,0,2
sample2,05,364,55,309,15.1%,45,8,0,1,0,1
sample3,01,276,57,219,20.7%,32,11,6,3,0,5
sample3,03,166,66,100,39.8%,33,17,2,4,0,10
sample3,05,276,59,217,21.4%,48,5,2,2,0,2
sample4,01,144,83,61,57.6%,13,39,4,12,0,15
sample4,05,180,72,108,40.0%,18,27,1,3,0,23
sample4,07,200,78,122,39.0%,32,24,4,3,0,15
sample5,01,214,70,144,32.7%,42,18,3,3,0,4
sample5,03,216,67,149,31.0%,38,20,5,3,0,1
sample5,05,281,70,211,24.9%,51,7,5,6,0,1
sample6,01,271,68,203,25.1%,45,14,3,1,0,5
sample6,03,279,86,193,30.8%,39,20,10,13,0,4
sample6,05,331,81,250,24.5%,48,11,9,12,0,1
sample7,01,329,72,257,21.9%,52,14,3,3,0,0
sample7,03,323,80,243,24.8%,43,20,8,3,0,6
sample7,05,322,62,260,19.3%,37,8,5,5,0,7
sample8,01,195,68,127,34.9%,29,21,8,4,0,6
sample8,03,255,75,180,29.4%,40,24,6,4,0,1
sample8,05,89,25,64,28.1%,17,2,0,5,0,1
